fold,baseline_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
combined,last_value,day_1_daily,1,daily,overall,all,1.498888888888889,2.6884526735238947,0.721004810261892,0.03,27.0,1871.0,1898.0,900,0.5958587382324625,900,0
combined,mean_28,day_1_daily,1,daily,overall,all,1.307380953675343,2.4490633055828317,0.6288844779838635,0.07476189751178026,67.28570776060224,1871.0,1938.2857077606022,900,0.502948529306015,900,0
combined,seasonal_naive_7,day_1_daily,1,daily,overall,all,1.5911111111111111,2.9507061301774304,0.7653661143773384,0.14222222222222222,128.0,1871.0,1999.0,900,0.6277689385311411,900,0
combined,zero,day_1_daily,1,daily,overall,all,2.078888888888889,4.567639798991744,1.0,-2.078888888888889,-1871.0,1871.0,0.0,900,0.652674962280891,900,0
combined,croston_sba,day_1_daily,1,daily,store_id,CA_1,1.7287984239558378,3.085756728607665,0.6815236888130767,-0.10021581694483757,-30.06474508345127,761.0,730.9352549165487,300,0.5707000435311299,300,0
combined,last_value,day_1_daily,1,daily,store_id,CA_1,1.5866666666666667,2.8272483678186697,0.6254927726675427,-0.04,-12.0,761.0,749.0,300,0.5918973607270517,300,0
combined,mean_28,day_1_daily,1,daily,store_id,CA_1,1.4814285852387548,2.9463773884426723,0.5840060125776957,-0.12976190647731226,-38.928571943193674,761.0,722.0714280568063,300,0.5084207854077644,300,0
combined,seasonal_naive_7,day_1_daily,1,daily,store_id,CA_1,1.7566666666666666,3.0072135496724095,0.6925098554533509,-0.056666666666666664,-17.0,761.0,744.0,300,0.6625083412413215,300,0
combined,zero,day_1_daily,1,daily,store_id,CA_1,2.5366666666666666,5.705844956416768,1.0,-2.5366666666666666,-761.0,761.0,0.0,300,0.7116000210833332,300,0
combined,croston_sba,day_1_daily,1,daily,store_id,TX_2,1.5059469393640756,2.7764514921680954,0.6961233926182168,-0.03138481887678305,-9.415445663034916,649.0,639.5845543369651,300,0.549684691417759,300,0
combined,last_value,day_1_daily,1,daily,store_id,TX_2,1.56,2.691963347942662,0.7211093990755008,-0.006666666666666667,-2.0,649.0,647.0,300,0.6057473723982247,300,0
combined,mean_28,day_1_daily,1,daily,store_id,TX_2,1.2763095262646675,2.3148046641131326,0.5899735868711868,-0.032738105008999506,-9.821431502699852,649.0,639.1785684973001,300,0.4963635283625581,300,0
combined,seasonal_naive_7,day_1_daily,1,daily,store_id,TX_2,1.55,2.7658633371878665,0.7164869029275809,0.20333333333333334,61.0,649.0,710.0,300,0.6312085697658218,300,0
combined,zero,day_1_daily,1,daily,store_id,TX_2,2.1633333333333336,4.455333881989093,1.0,-2.1633333333333336,-649.0,649.0,0.0,300,0.6926391582738726,300,0
combined,croston_sba,day_1_daily,1,daily,store_id,WI_3,1.338359783248355,2.33011311988364,0.8709499674067386,0.3914032744926711,117.42098234780133,461.0,578.4209823478013,300,0.5513519080555418,300,0
combined,last_value,day_1_daily,1,daily,store_id,WI_3,1.35,2.5383721817994567,0.8785249457700651,0.13666666666666666,41.0,461.0,502.0,300,0.5899314815721113,300,0
combined,mean_28,day_1_daily,1,daily,store_id,WI_3,1.1644047495226066,1.9885353595374522,0.7577471255027808,0.3867857040216525,116.03571120649576,461.0,577.0357112064958,300,0.5040612741477228,300,0
combined,seasonal_naive_7,day_1_daily,1,daily,store_id,WI_3,1.4666666666666666,3.0702877172451877,0.9544468546637744,0.28,84.0,461.0,545.0,300,0.58958990458628,300,0
combined,zero,day_1_daily,1,daily,store_id,WI_3,1.5366666666666666,3.191133549905634,1.0,-1.5366666666666666,-461.0,461.0,0.0,300,0.553785707485467,300,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,demand_band,high,11.826272961667893,20.021011981991492,0.36806068003933395,0.6166477496375139,183.1443816423416,9543.0,9726.144381642342,297,0.8891758321897224,297,0
combined,last_value,days_1_7_aggregate,7,aggregate,demand_band,high,15.737373737373737,25.223979825736425,0.4897830870795347,-0.006734006734006734,-2.0,9543.0,9541.0,297,1.3757717962704765,297,0
combined,mean_28,days_1_7_aggregate,7,aggregate,demand_band,high,8.107744066000787,13.11214892764306,0.25233155062372775,1.0774410389087818,319.9999885559082,9543.0,9862.999988555908,297,0.7073143429750134,297,0
