fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series,evaluation_split
validation_fold_1,mean_28,day_1_daily,1,daily,intermittency_class,highly_intermittent,0.4781746042685376,0.9492134858868134,1.0758928596042097,-0.1845238086664014,-3.321428555995226,8.0,4.678571444004774,18,0.6727566193224281,18,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,intermittency_class,intermittent,0.7628968163496919,1.5653346911756387,0.752446175029833,-0.0773809518561595,-11.142857067286968,146.0,134.85714293271303,144,0.4536221854001954,144,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,intermittency_class,regular,2.1925466017446658,3.751256869394512,0.4888068352839481,-1.191511412029681,-164.42857486009598,619.0,454.571425139904,138,0.60658023851585,138,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,overall,all,1.4034523849065106,2.7754780118712787,0.5446775103130054,-0.5963095349445939,-178.89286048337817,773.0,594.1071395166218,300,0.5371309558687307,300,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,store_id,CA_1,1.6110714382305742,3.460434198335907,0.5003327447921038,-0.9967857211455704,-99.67857211455704,322.0,222.32142788544297,100,0.5334232730033324,100,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,store_id,TX_2,1.3214285809546709,2.403075221287723,0.5005411291494966,-0.7292857369035483,-72.92857369035482,264.0,191.0714263096452,100,0.509123897231221,100,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,store_id,WI_3,1.2778571355342865,2.315266555488402,0.6833460617830409,-0.0628571467846632,-6.28571467846632,187.0,180.71428532153368,100,0.5688456973716383,100,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,demand_band,high,7.388888864806204,13.082199304588205,0.2560378010555877,1.1212120874963625,110.99999666213988,2857.0,2967.99999666214,99,0.6859955714491445,99,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,demand_band,low,2.0176767724933047,2.9140681069084846,0.5006265676111207,0.0126262578097256,1.2499995231628418,399.0,400.2499995231629,99,0.6336406622034956,99,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,demand_band,medium,2.82843137254902,4.151836352511888,0.4255162241887905,1.1029411764705883,112.5,678.0,790.5,102,0.5710653137303132,102,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,dept_id,FOODS_1,4.322222211625841,6.50598010821474,0.3121990361527493,-0.2000000317891438,-9.000001430511475,623.0,613.9999985694885,45,0.7089563527716897,45,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,dept_id,FOODS_2,2.9464285998117354,4.515021269813612,0.478723408866897,1.44642858845847,121.50000143051147,517.0,638.5000014305115,84,0.6643369822022002,84,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,dept_id,FOODS_3,4.548245591726917,9.65033781788828,0.2783643508179322,0.6564327262298405,112.24999618530272,2794.0,2906.2499961853027,171,0.5917269400724705,171,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,intermittency_class,highly_intermittent,0.8472222222222222,1.1102427162061856,0.4485294117647059,-0.0694444444444444,-1.25,34.0,32.75,18,0.5427580658753816,18,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,intermittency_class,intermittent,2.4027777545981936,3.678602656023252,0.4089834475911819,0.6805555257532332,97.99999570846558,846.0,943.9999957084656,144,0.6023789617764878,144,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,intermittency_class,regular,6.221014503119648,11.284006575282463,0.2811067457205342,0.9275362353393996,128.00000047683716,3054.0,3182.000000476837,138,0.6694234308009581,138,0,validation
