fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
validation_fold_2,xgb_tune_02,days_1_7_aggregate,7,aggregate,overall,all,4.927413157796642,10.11966446842012,0.3444137808338753,0.26385543796001004,79.156631388003,4292.0,4371.156631388003,300,0.7178616784063392,300,0
validation_fold_2,xgb_tune_02,days_1_7_daily,7,daily,overall,all,1.2885470223108617,2.6466438297089443,0.6304633613356966,0.03769363399428714,79.156631388003,4292.0,4371.156631388003,2100,0.6240579723535759,300,0
validation_fold_2,xgb_tune_02,days_1_30_aggregate,30,aggregate,overall,all,18.912513737995955,38.441726542976944,0.2758534675903727,1.619619996076605,485.8859988229815,20568.0,21053.88599882298,300,1.2855102053385294,300,0
validation_fold_2,xgb_tune_02,days_1_30_daily,30,daily,overall,all,1.5063897981436976,2.7756433878478415,0.6591553959205211,0.0539873332025535,485.8859988229815,20568.0,21053.88599882298,9000,0.7512607267758966,300,0
validation_fold_3,xgb_tune_02,day_1_daily,1,daily,overall,all,1.1749927823850885,2.09204733496386,0.6184172538868887,-0.06530818684802701,-19.592456054408103,570.0,550.4075439455919,300,0.44278254951816554,300,0
validation_fold_3,xgb_tune_02,days_1_7_aggregate,7,aggregate,overall,all,4.745535132552807,8.390675485434357,0.3003503248451144,-0.8475470371792714,-254.2641111537814,4740.0,4485.735888846219,300,0.6789533114548075,300,0
validation_fold_3,xgb_tune_02,days_1_7_daily,7,daily,overall,all,1.3672506986775745,2.5559372269063707,0.6057439804267736,-0.12107814816846733,-254.2641111537814,4740.0,4485.735888846219,2100,0.6709224371831736,300,0
validation_fold_3,xgb_tune_02,days_1_30_aggregate,30,aggregate,overall,all,17.629965194889035,34.744055695503945,0.26499271298495464,4.377059282585979,1313.1177847757936,19959.0,21272.117784775794,300,1.2050810173569875,300,0
validation_fold_3,xgb_tune_02,days_1_30_daily,30,daily,overall,all,1.474052025593093,2.6181458564944933,0.6646860178534915,0.1459019760861993,1313.1177847757936,19959.0,21272.117784775794,9000,0.7397443504783624,300,0
combined,xgb_tune_03,day_1_daily,1,daily,overall,all,1.1541728751703664,2.0513119992222686,0.5551873798254033,-0.06337981488858026,-57.041833399722236,1871.0,1813.9581666002778,900,0.4735324915267049,900,0
